table,##,[Custom,WaveView],saved,19:44:50,Tue,Jan,16,2024
TIME,x_ssad.v(b5),x_ssad.v(b4),x_ssad.v(b3),x_ssad.v(b2),x_ssad.v(b1),x_ssad.v(b0),,,
4.18E-03,1.31E+00,2.84E-05,1.31E+00,2.84E-05,1.27E+00,1.31E+00,,,
4.23E-03,3.74E-05,3.74E-05,1.26E+00,1.26E+00,1.26E+00,1.31E+00,,,
4.28E-03,1.28E+00,1.32E+00,8.91E-06,1.28E+00,1.28E+00,1.32E+00,,,
4.33E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,,,
4.38E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.83E-06,,,
4.43E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
4.48E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
4.53E-03,6.13E-03,6.13E-03,6.13E-03,1.28E+00,6.13E-03,6.13E-03,,,
4.58E-03,1.26E+00,1.26E+00,1.26E+00,1.31E+00,3.74E-05,3.73E-05,,,
4.63E-03,2.55E-04,2.55E-04,1.30E+00,2.55E-04,1.25E+00,1.30E+00,,,
4.68E-03,1.25E+00,1.30E+00,2.55E-04,2.55E-04,2.55E-04,1.30E+00,,,
4.73E-03,2.55E-04,1.30E+00,2.55E-04,1.25E+00,1.30E+00,2.55E-04,,,
4.78E-03,1.30E+00,2.20E-04,2.20E-04,1.30E+00,2.20E-04,1.30E+00,,,
4.83E-03,1.30E+00,2.55E-04,2.55E-04,2.55E-04,1.25E+00,1.30E+00,,,
4.88E-03,3.26E-05,1.31E+00,3.26E-05,1.26E+00,1.26E+00,1.31E+00,,,
4.93E-03,1.25E+00,1.30E+00,2.55E-04,2.55E-04,2.55E-04,1.30E+00,,,
4.98E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,,,
5.03E-03,1.26E+00,1.26E+00,1.31E+00,3.26E-05,1.31E+00,3.25E-05,,,
5.08E-03,1.50E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,,,
5.13E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
5.18E-03,6.14E-03,6.14E-03,6.14E-03,6.14E-03,1.28E+00,6.14E-03,,,
5.23E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.80E-06,,,
5.28E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,,,
5.33E-03,1.25E+00,1.25E+00,1.30E+00,2.96E-04,2.96E-04,2.96E-04,,,
5.38E-03,2.96E-04,2.96E-04,1.25E+00,1.25E+00,1.30E+00,2.96E-04,,,
5.43E-03,1.31E+00,2.84E-05,1.27E+00,1.31E+00,2.84E-05,1.31E+00,,,
5.48E-03,3.26E-05,1.26E+00,1.31E+00,3.26E-05,1.26E+00,1.31E+00,,,
5.53E-03,8.83E-06,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,,,
5.58E-03,1.30E+00,2.20E-04,1.30E+00,2.20E-04,2.20E-04,1.30E+00,,,
5.63E-03,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.29E+00,1.50E-03,,,
5.68E-03,1.27E+00,1.31E+00,2.84E-05,1.31E+00,2.84E-05,1.31E+00,,,
5.73E-03,6.14E-03,6.14E-03,1.28E+00,6.14E-03,6.14E-03,6.14E-03,,,
5.78E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.84E-06,,,
5.83E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
5.88E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.80E-06,,,
5.93E-03,6.14E-03,6.14E-03,6.14E-03,1.28E+00,6.14E-03,6.14E-03,,,
5.98E-03,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.90E-06,1.32E+00,,,
6.03E-03,6.14E-03,6.14E-03,1.28E+00,6.14E-03,6.14E-03,6.14E-03,,,
6.08E-03,1.25E+00,1.30E+00,2.55E-04,1.30E+00,2.55E-04,2.55E-04,,,
6.13E-03,2.55E-04,1.30E+00,2.55E-04,2.55E-04,1.25E+00,1.30E+00,,,
6.18E-03,1.31E+00,3.26E-05,3.26E-05,1.26E+00,1.26E+00,1.31E+00,,,
6.23E-03,1.28E+00,6.14E-03,6.14E-03,6.14E-03,6.14E-03,6.14E-03,,,
6.28E-03,2.55E-04,1.25E+00,1.30E+00,2.55E-04,1.30E+00,2.55E-04,,,
6.33E-03,1.31E+00,2.85E-05,1.27E+00,1.31E+00,2.85E-05,1.31E+00,,,
6.38E-03,2.55E-04,2.55E-04,1.25E+00,1.30E+00,2.55E-04,1.30E+00,,,
6.43E-03,1.26E+00,1.26E+00,1.31E+00,3.26E-05,3.26E-05,1.31E+00,,,
6.48E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,,,
6.53E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.80E-06,,,
6.58E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
6.63E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
6.68E-03,1.50E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,,,
6.73E-03,1.26E+00,1.26E+00,1.31E+00,3.26E-05,3.26E-05,1.31E+00,,,
6.78E-03,2.55E-04,2.55E-04,1.25E+00,1.30E+00,2.55E-04,1.30E+00,,,
6.83E-03,1.32E+00,8.90E-06,1.28E+00,1.28E+00,1.28E+00,1.32E+00,,,
